n_chains,seed,arm,t,mse_vs_bayes_denoiser,rel_l2_vs_bayes_denoiser,denoising_risk,bayes_risk_floor,zero_predictor_ceiling,fraction_achievable_captured,score_reweighting,abs_score_error_implied
128,0,em_bp,0.1,0.0006787604894167196,0.027182194526549717,0.11380943914428152,0.11306072920322317,1.0410718091492885,0.9991932101272951,4.991676378648053,16.64618312629898
128,0,mlp,0.1,0.053784792719033456,0.24196691571010245,0.16677838726579058,0.11306072920322317,1.0410718091492885,0.9421152837251798,4.991676378648053,148.178822923293
128,0,cnn,0.1,0.0039556071051760925,0.06561948433777066,0.11745144479163981,0.11306072920322317,1.0410718091492885,0.9952686819335478,4.991676378648053,40.18490677317978
128,0,em_bp,0.2,0.0007419335809658353,0.029203108112695553,0.18453195774592707,0.1834009849868991,1.0410718091492885,0.9986813440224781,2.4834107844072584,8.65846780719557
128,0,mlp,0.2,0.08136159058503054,0.3058132352366757,0.2625838000233623,0.1834009849868991,1.0410718091492885,0.9076769165911713,2.4834107844072584,90.67096701121223
128,0,cnn,0.2,0.006076853811563996,0.08357684189738344,0.18888085589690345,0.1834009849868991,1.0410718091492885,0.9936107528020951,2.4834107844072584,24.77980741649123
128,0,em_bp,0.4,0.0007157860249379362,0.03144272338094862,0.29830960820516483,0.2973688243275274,1.0410718091492885,0.9987350005353779,1.2172785608036423,4.168612728103206
128,0,mlp,0.4,0.10771185953213844,0.38570947662129373,0.40716816932375677,0.2973688243275274,1.0410718091492885,0.8523612957899527,1.2172785608036423,51.13658298974743
128,0,cnn,0.4,0.007783088812278464,0.10368228041398385,0.30602486848390975,0.2973688243275274,1.0410718091492885,0.9883608855510283,1.2172785608036423,13.745987221780505
128,0,em_bp,0.8,0.0005865994267045823,0.034212056732234875,0.5097328855873899,0.5081117749903276,1.0410718091492885,0.9969582886273629,0.5629958698942408,1.7453639265214416
128,0,mlp,0.8,0.07914616369295435,0.3973958256928361,0.5965758291315996,0.5081117749903276,1.0410718091492885,0.8340137187193164,0.5629958698942408,20.273564496371332
128,0,cnn,0.8,0.008273700361947762,0.12848672535094724,0.5162849563605456,0.5081117749903276,1.0410718091492885,0.9846645510988159,0.5629958698942408,6.554884940697394
128,0,em_bp,1.6,0.0008749124674918642,0.06926409271970747,0.8575239339007986,0.8565994705573523,1.0410718091492885,0.994988607232376,0.21047598294396438,0.7968834708473019
128,0,mlp,1.6,0.047855769022015646,0.5122630099268665,0.9047421296441263,0.8565994705573523,1.0410718091492885,0.7390250513749469,0.21047598294396438,5.8935865512472025
128,0,cnn,1.6,0.010883940598608529,0.24429744709799478,0.8666916219818166,0.8565994705573523,1.0410718091492885,0.9452917900781389,0.21047598294396438,2.8106424255116904
