n_chains,seed,arm,t,mse_vs_bayes_denoiser,rel_l2_vs_bayes_denoiser,denoising_risk,bayes_risk_floor,zero_predictor_ceiling,fraction_achievable_captured,score_reweighting,abs_score_error_implied
2048,0,em_bp,0.1,0.0004802686705355723,0.023911337928904503,0.11044981110324273,0.11011412787056646,0.9572257633673866,0.999603732001061,4.991676378648053,14.00227231564292
2048,0,mlp,0.1,0.005694721823142575,0.0823375624496238,0.11545398554864943,0.11011412787056646,0.9572257633673866,0.9936963943660728,4.991676378648053,48.216163171372486
2048,0,cnn,0.1,0.0021354232788975552,0.05042010375325469,0.11190894102208254,0.11011412787056646,0.9572257633673866,0.997881255461137,4.991676378648053,29.52557590190801
2048,0,em_bp,0.2,0.0002951583385325372,0.01957175123340819,0.18277435321473026,0.18266442264969224,0.9572257633673866,0.9998580737776868,2.4834107844072584,5.461174590543179
2048,0,mlp,0.2,0.008565697823281484,0.10543469189647921,0.19213548659134327,0.18266442264969224,0.9572257633673866,0.9877723513377581,2.4834107844072584,29.419812947751883
2048,0,cnn,0.2,0.0032639921707693633,0.06508437110228842,0.18683355719178368,0.18266442264969224,0.9572257633673866,0.9946174249566493,2.4834107844072584,18.16072100377934
2048,0,em_bp,0.4,0.00015093900034764606,0.014725887466343906,0.2908407321992472,0.290764896150505,0.9572257633673866,0.9998862108002545,1.2172785608036423,1.9142589110647255
2048,0,mlp,0.4,0.019618864919839697,0.16788723674696335,0.31049317046127767,0.290764896150505,0.9572257633673866,0.9703984505599595,1.2172785608036423,21.824127050503588
2048,0,cnn,0.4,0.004620965856327455,0.08147926869976128,0.2954534480473432,0.290764896150505,0.9572257633673866,0.9929650004561896,1.2172785608036423,10.591715883476022
2048,0,em_bp,0.8,8.948239482364488e-05,0.013770480832457936,0.48616862791626503,0.4858519446338868,0.9572257633673866,0.9993281695550486,0.5629958698942408,0.6816853768856493
2048,0,mlp,0.8,0.015534042325018645,0.1814356177745615,0.502554008570179,0.4858519446338868,0.9572257633673866,0.9645672642974366,0.5629958698942408,8.981676746654037
2048,0,cnn,0.8,0.006455381085563288,0.11696104730538683,0.49416197962530106,0.4858519446338868,0.9572257633673866,0.9823706055339648,0.5629958698942408,5.7899674371124705
2048,0,em_bp,1.6,0.00016735299149522718,0.03190614339265503,0.785567092270004,0.785041191514633,0.9572257633673866,0.9969457149980854,0.21047598294396438,0.3485212443924316
2048,0,mlp,1.6,0.011071396192116494,0.2595127912635971,0.8014923509124608,0.785041191514633,0.9572257633673866,0.904456251679179,0.21047598294396438,2.834743135009019
2048,0,cnn,1.6,0.011457774076456062,0.2640022936350114,0.7978730447104865,0.785041191514633,0.9572257633673866,0.9254761732844055,0.21047598294396438,2.883783438436862
2048,1,em_bp,0.1,0.0004528535369407252,0.022433065982010204,0.11409477491249626,0.11352367063065369,0.9897539532732358,0.9993482258110046,4.991676378648053,13.59675502955672
2048,1,mlp,0.1,0.006093429882403094,0.08228878703204014,0.11996139717678532,0.11352367063065369,0.9897539532732358,0.9926529284896245,4.991676378648053,49.87550430472873
2048,1,cnn,0.1,0.0024634362705940045,0.0523215278536949,0.11638494843954722,0.11352367063065369,0.9897539532732358,0.9967345595495007,4.991676378648053,31.712250013855222
2048,1,em_bp,0.2,0.0003238693907150425,0.019851208111859954,0.1837635370687412,0.18348522813174534,0.9897539532732358,0.9996548186376113,2.4834107844072584,5.720625063446246
2048,1,mlp,0.2,0.008996708400365854,0.1046270095384027,0.192943612117511,0.18348522813174534,0.9897539532732358,0.98826894347898,2.4834107844072584,30.150905159330208
2048,1,cnn,0.2,0.0038985984703299335,0.06887414875291209,0.1876003843405743,0.18348522813174534,0.9897539532732358,0.9948960488227958,2.4834107844072584,19.847818800712673
2048,1,em_bp,0.4,0.00021098053426412468,0.01742622367080421,0.30190746169197347,0.30182407022598073,0.9897539532732358,0.9998787791197217,1.2172785608036423,2.2631906312658288
2048,1,mlp,0.4,0.021784794853689848,0.17707564297834286,0.32571002593512227,0.30182407022598073,0.9897539532732358,0.9652785025076447,1.2172785608036423,22.997290967025883
2048,1,cnn,0.4,0.005336595156868804,0.0876423913733069,0.30719051782666784,0.30182407022598073,0.9897539532732358,0.992199135794311,1.2172785608036423,11.38235356120891
2048,1,em_bp,0.8,0.00010604948154849326,0.01464503708667228,0.5054220807536531,0.50502995688379,0.9897539532732358,0.9991910368110845,0.5629958698942408,0.7421119986006868
2048,1,mlp,0.8,0.016585275034984685,0.18314604301439855,0.5222082880107568,0.50502995688379,0.9897539532732358,0.9645605927189026,0.5629958698942408,9.28060988940151
2048,1,cnn,0.8,0.010545775779408614,0.14604122514546744,0.5155180546785888,0.50502995688379,0.9897539532732358,0.9783627427713064,0.5629958698942408,7.400387232165222
2048,1,em_bp,1.6,2.4801397092724356e-05,0.011561600872068447,0.8058417224832293,0.8054516802349193,0.9897539532732358,0.9978836818348471,0.21047598294396438,0.13416850758899787
2048,1,mlp,1.6,0.014056493659222694,0.2752443419867067,0.8189048567164056,0.8054516802349193,0.9897539532732358,0.9270048260409174,0.21047598294396438,3.1941184439162633
2048,1,cnn,1.6,0.014611950062040316,0.2806299309258496,0.8230411790710055,0.8054516802349193,0.9897539532732358,0.9045616825765935,0.21047598294396438,3.256616400596145
2048,2,em_bp,0.1,0.000606469171877732,0.026094574648163407,0.11120112034943423,0.11054767245874947,0.991416521728204,0.9992581780009288,4.991676378648053,15.73478292399573
2048,2,mlp,0.1,0.006069123713160383,0.08254843657815923,0.11619959494604248,0.11054767245874947,0.991416521728204,0.9935836958112659,4.991676378648053,49.77593035278629
2048,2,cnn,0.1,0.002318222375641839,0.05101799700100907,0.11268112777617775,0.11054767245874947,0.991416521728204,0.9975780102574888,4.991676378648053,30.763372036203805
2048,2,em_bp,0.2,0.00040164746848387375,0.02233005936096759,0.18258195956583362,0.1820234344965712,0.991416521728204,0.9993099458371053,2.4834107844072584,6.370610446261358
2048,2,mlp,0.2,0.009400100806628911,0.10802732349493493,0.19047466819485215,0.1820234344965712,0.991416521728204,0.9895585546360586,2.4834107844072584,30.819443173601442
2048,2,cnn,0.2,0.0035609472697571923,0.066489050636707,0.18504586859841854,0.1820234344965712,0.991416521728204,0.9962658019329211,2.4834107844072584,18.96886316785196
2048,2,em_bp,0.4,0.00024473032748886553,0.018706196808063062,0.29851105357058827,0.2982449648293529,0.991416521728204,0.9996161285924284,1.2172785608036423,2.4374955889469603
2048,2,mlp,0.4,0.017870886428524045,0.1598507399592729,0.3152510485841589,0.2982449648293529,0.991416521728204,0.9754662700949694,1.2172785608036423,20.829219190759716
2048,2,cnn,0.4,0.005161240637476333,0.08590504261416922,0.30337389867455355,0.2982449648293529,0.991416521728204,0.9926007727897164,1.2172785608036423,11.19378591965214
2048,2,em_bp,0.8,0.0002336296320765781,0.021486797321962934,0.48602939088504615,0.4856407991338885,0.991416521728204,0.9992316915703972,0.5629958698942408,1.101486404483676
2048,2,mlp,0.8,0.017383704482091256,0.1853441529995173,0.5046850950379169,0.4856407991338885,0.991416521728204,0.9623463621259972,0.5629958698942408,9.50137247633609
2048,2,cnn,0.8,0.008170820446701393,0.1270692768228206,0.4953074659664452,0.4856407991338885,0.991416521728204,0.9808874439781872,0.5629958698942408,6.5140038671488245
2048,2,em_bp,1.6,0.00021752761916250617,0.034703798540122885,0.8166997110862342,0.8162208587833466,0.991416521728204,0.9972667570941052,0.21047598294396438,0.3973467995363829
2048,2,mlp,1.6,0.012853909171743793,0.26677026713136914,0.8335405183046508,0.8162208587833466,0.991416521728204,0.9011410486413951,0.21047598294396438,3.0544296680826717
2048,2,cnn,1.6,0.010804557247018355,0.2445813274290877,0.8286010226099567,0.8162208587833466,0.991416521728204,0.9293352151616519,0.21047598294396438,2.800373785248582
