mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
longrange,0.05,em_bp,0.1,0.042211656017386016,1.0,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,eps,eps,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,cnn,0.1,0.04093772127924408,0.9698203089303763,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,eps,eps,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,mlp,0.1,0.076700131941623,1.8170367897917101,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,eps,eps,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,em_bp,0.2,0.05513937047221539,1.0,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,eps,eps,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,cnn,0.2,0.06146281010157869,1.1146810269179563,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,eps,eps,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,mlp,0.2,0.1180567521226984,2.1410609354378995,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,eps,eps,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,em_bp,0.4,0.08578908895530321,1.0,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,cnn,0.4,0.1045055004805093,1.2181677384982779,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,mlp,0.4,0.1878636182466721,2.1898311374369595,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,em_bp,0.8,0.15958032005787615,1.0,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,cnn,0.8,0.21361627280399528,1.3386128861411077,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,mlp,0.8,0.1983142816286672,1.242723924583828,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,em_bp,1.6,0.2980814160925022,1.0,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,cnn,1.6,0.4599081872952693,1.542894533057868,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
longrange,0.05,mlp,1.6,0.27044642230831845,0.9072904505539254,0.8236630428646234,0.7860391958416854,0.037623847022938084,248.84898159792647,401,0.0,x0,x0,-0.0022077157962738453,0.3194671122629992,0.05524410616923614
